Postal Code,Country,City,State,Region
47201,United States,Columbus,Indiana,Central
92804,United States,Anaheim,California,West
10024,United States,New York City,New York,East
49505,United States,Grand Rapids,Michigan,Central
10009,United States,New York City,New York,East
94533,United States,Fairfield,California,West
37211,United States,Nashville,Tennessee,South
80538,United States,Loveland,Colorado,West
94110,United States,San Francisco,California,West
90049,United States,Los Angeles,California,West
98103,United States,Seattle,Washington,West
98026,United States,Edmonds,Washington,West
58103,United States,Fargo,North Dakota,Central
78664,United States,Round Rock,Texas,Central
52601,United States,Burlington,Iowa,Central
61604,United States,Peoria,Illinois,Central
40214,United States,Louisville,Kentucky,South
75081,United States,Dallas,Texas,Central
87105,United States,Albuquerque,New Mexico,West
79762,United States,Odessa,Texas,Central
98105,United States,Seattle,Washington,West
10035,United States,New York City,New York,East
85224,United States,Chandler,Arizona,West
90805,United States,Long Beach,California,West
45014,United States,Fairfield,Ohio,East
43229,United States,Columbus,Ohio,East
6810,United States,Danbury,Connecticut,East
83642,United States,Meridian,Idaho,West
14609,United States,Rochester,New York,East
35810,United States,Huntsville,Alabama,South
90008,United States,Los Angeles,California,West
98208,United States,Everett,Washington,West
7017,United States,East Orange,New Jersey,East
7501,United States,Paterson,New Jersey,East
11572,United States,Oceanside,New York,East
70506,United States,Lafayette,Louisiana,South
72209,United States,Little Rock,Arkansas,South
2740,United States,New Bedford,Massachusetts,East
38301,United States,Jackson,Tennessee,South
33012,United States,Hialeah,Florida,South
64055,United States,Independence,Missouri,Central
6457,United States,Middletown,Connecticut,East
43055,United States,Newark,Ohio,East
92627,United States,Costa Mesa,California,West
2908,United States,Providence,Rhode Island,East
47905,United States,Lafayette,Indiana,Central
37075,United States,Hendersonville,Tennessee,South
75220,United States,Dallas,Texas,Central
88220,United States,Carlsbad,New Mexico,West
29203,United States,Columbia,South Carolina,South
68025,United States,Fremont,Nebraska,Central
77095,United States,Houston,Texas,Central
35401,United States,Tuscaloosa,Alabama,South
55901,United States,Rochester,Minnesota,Central
94601,United States,Oakland,California,West
