Order ID,Customer ID,IDSeller,Order Date,Ship Date,Postal Code,IDShip,IDSegment,Returned
CA-2017-126221,CC-12430,1,2017-12-30,2018-05-01,47201,1,1,Not
CA-2017-146626,BP-11185,2,2017-12-29,2018-05-01,92804,1,2,Not
CA-2017-164826,JF-15415,3,2017-12-28,2018-04-01,10024,1,3,Not
CA-2017-158673,KB-16600,1,2017-12-29,2018-04-01,49505,1,2,Not
CA-2017-143259,PO-18865,3,2017-12-30,2018-03-01,10009,1,3,Not
CA-2017-115427,EB-13975,2,2017-12-30,2018-03-01,94533,1,2,Yes
CA-2017-127516,EH-14005,4,2017-12-28,2018-03-01,37211,1,1,Not
CA-2017-156720,JM-15580,2,2017-12-30,2018-03-01,80538,1,3,Not
CA-2017-163979,KH-16690,2,2017-12-28,2018-02-01,94110,2,2,Not
CA-2017-118885,JG-15160,2,2017-12-29,2018-02-01,90049,1,3,Not
CA-2017-129805,HM-14860,2,2017-12-28,2018-02-01,98103,1,2,Not
CA-2017-130631,BS-11755,2,2017-12-29,2018-02-01,98026,1,3,Yes
CA-2017-135111,CS-12400,1,2017-12-28,2018-02-01,58103,1,1,Not
CA-2017-136539,GH-14665,1,2017-12-28,2018-01-01,78664,1,3,Yes
US-2017-106705,PO-18850,1,2017-12-26,2018-01-01,52601,1,3,Not
CA-2017-163860,LO-17170,1,2017-12-28,2018-01-01,61604,1,2,Not
US-2017-158526,KH-16360,4,2017-12-29,2018-01-01,40214,2,3,Not
CA-2017-134194,GA-14725,1,2017-12-25,2018-01-01,75081,1,3,Yes
CA-2017-122798,SV-20935,2,2017-12-28,2018-01-01,87105,1,3,Not
CA-2017-136238,KB-16240,1,2017-12-26,2018-01-01,79762,1,2,Not
CA-2017-147956,AH-10210,2,2017-12-24,2017-12-31,98105,1,3,Not
US-2017-102638,MC-17845,3,2017-12-29,2017-12-31,10035,3,3,Not
CA-2017-128734,JL-15175,2,2017-12-24,2017-12-31,85224,1,1,Not
US-2017-162068,PC-18745,2,2017-12-28,2017-12-31,80538,2,2,Not
CA-2017-101322,JG-15310,2,2017-12-28,2017-12-31,90805,3,2,Not
CA-2017-146780,CV-12805,3,2017-12-25,2017-12-30,10035,1,2,Not
US-2017-147669,SV-20935,3,2017-12-25,2017-12-30,45014,1,3,Not
CA-2017-112487,TC-21535,3,2017-12-26,2017-12-30,43229,1,1,Not
CA-2017-110625,JB-16045,3,2017-12-23,2017-12-30,6810,1,1,Not
CA-2017-163671,DP-13105,2,2017-12-24,2017-12-30,83642,1,2,Not
CA-2017-117933,RF-19840,3,2017-12-24,2017-12-29,10024,1,3,Not
CA-2017-161480,RA-19285,3,2017-12-25,2017-12-29,10035,1,3,Not
CA-2017-154935,AR-10540,3,2017-12-24,2017-12-29,10024,1,3,Not
CA-2017-169411,AC-10615,3,2017-12-24,2017-12-29,14609,1,2,Not
CA-2017-114055,MH-18115,4,2017-12-25,2017-12-29,35810,2,1,Not
CA-2017-121398,FH-14365,2,2017-12-25,2017-12-29,90008,1,2,Not
CA-2017-162880,GD-14590,2,2017-12-25,2017-12-29,98208,1,2,Not
CA-2017-108756,PO-18865,3,2017-12-25,2017-12-29,7017,1,3,Not
