"cliente","genero","nivel_educativo","ocupacion","propietario_casa","estado_civil","ingreso_anual","numero_hijos","unidades_compradas"
"1","M","Universitaria Completa","Empresario","Si","Soltero",100000,1,"2"
"2","M","Universitaria Incompleta","Empleado","Si","Soltero",70000,0,"2"
"3","M","Universitaria Postgrado","Empresario","Si","Casado",130000,2,"2"
"4","M","Universitaria Incompleta","Independiente","Si","Casado",90000,5,"2"
"10","M","Universitaria Postgrado","Deportista","Si","Casado",40000,0,"1"
"100","F","Secundaria Completa","Comerciante","Si","Soltero",20000,3,"1"
"1000","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1001","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1002","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1003","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1004","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1005","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1006","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1007","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1008","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1009","M","Universitaria Incompleta","Empleado","No","Soltero",60000,0,"1"
"101","F","Universitaria Incompleta","Independiente","Si","Soltero",60000,2,"1"
"1010","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1011","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1012","M","Universitaria Incompleta","Deportista","Si","Casado",40000,1,"1"
"1013","M","Universitaria Incompleta","Empleado","No","Soltero",60000,0,"1"
"1014","M","Secundaria Incompleta","Deportista","No","Soltero",40000,0,"1"
"1015","M","Universitaria Incompleta","Empleado","Si","Casado",70000,0,"1"
"1016","M","Universitaria Incompleta","Independiente","Si","Soltero",60000,0,"1"
"1017","M","Secundaria Completa","Independiente","No","Soltero",60000,0,"1"
"1018","M","Universitaria Completa","Empresario","Si","Soltero",120000,2,"1"
"1019","M","Universitaria Completa","Empresario","No","Soltero",120000,2,"1"
"102","F","Universitaria Completa","Empresario","Si","Soltero",70000,5,"1"
"1020","M","Universitaria Completa","Empresario","Si","Soltero",120000,2,"1"
"1021","M","Universitaria Completa","Empresario","Si","Soltero",120000,2,"1"
"1022","M","Universitaria Incompleta","Independiente","Si","Casado",70000,3,"1"
"1023","M","Universitaria Incompleta","Independiente","Si","Casado",90000,2,"1"
"1024","M","Secundaria Completa","Empleado","Si","Casado",40000,0,"1"
"1025","M","Secundaria Completa","Empleado","No","Soltero",40000,0,"1"
"1026","M","Universitaria Postgrado","Empleado","No","Soltero",40000,0,"1"
"1027","M","Universitaria Postgrado","Empleado","Si","Casado",50000,1,"1"
"1028","M","Universitaria Postgrado","Empleado","No","Casado",50000,1,"1"
"1029","M","Universitaria Completa","Empresario","Si","Casado",60000,4,"1"
"103","F","Universitaria Postgrado","Empresario","Si","Soltero",120000,1,"1"
"1030","M","Universitaria Completa","Empresario","Si","Casado",60000,4,"1"
"1031","M","Universitaria Completa","Empresario","Si","Soltero",60000,5,"1"
"1032","M","Universitaria Completa","Empresario","Si","Casado",70000,4,"1"
"1033","M","Universitaria Completa","Empresario","Si","Casado",80000,5,"1"
"1034","M","Universitaria Completa","Empresario","Si","Casado",80000,5,"1"
"1035","M","Universitaria Incompleta","Independiente","Si","Casado",60000,2,"1"
"1036","M","Universitaria Completa","Empresario","Si","Casado",70000,4,"1"
"1037","M","Universitaria Incompleta","Independiente","Si","Casado",60000,2,"1"
"1038","M","Universitaria Incompleta","Independiente","Si","Casado",60000,2,"1"
"1039","M","Universitaria Incompleta","Independiente","Si","Soltero",70000,4,"1"
"104","F","Universitaria Postgrado","Empresario","Si","Casado",130000,1,"1"
"1040","M","Universitaria Incompleta","Independiente","Si","Soltero",70000,4,"1"
"1041","M","Universitaria Incompleta","Independiente","Si","Soltero",90000,5,"1"
"1042","M","Universitaria Incompleta","Independiente","Si","Casado",70000,3,"1"
"1043","M","Universitaria Incompleta","Independiente","No","Casado",80000,3,"1"
"1044","M","Universitaria Incompleta","Independiente","No","Casado",80000,3,"1"
"1045","M","Universitaria Incompleta","Independiente","Si","Casado",100000,1,"1"
"1046","M","Universitaria Incompleta","Independiente","Si","Casado",150000,1,"1"
"1047","M","Universitaria Incompleta","Independiente","No","Casado",40000,3,"1"
"1048","M","Universitaria Postgrado","Empresario","Si","Soltero",70000,4,"1"
