Fecha Orden,Numero de Orden,Unidades Vendidas,Monto de Venta,Nombre Tienda,SKU Producto,IdCliente
15/02/20,SO45463,1,3578.27,AW Breña,BK-R93R-48,1
15/02/20,SO45463,1,3578.27,AW Breña,BK-R93R-48,1
15/02/28,SO45512,1,3578.27,AW Breña,BK-R93R-48,2
15/03/13,SO45658,1,3578.27,AW Breña,BK-R93R-48,3
15/03/03,SO45594,1,3578.27,AW Comas,BK-R93R-48,4
15/03/29,SO45766,1,3578.27,AW Breña,BK-R93R-48,5
15/03/15,SO45668,1,3578.27,AW Breña,BK-R93R-48,6
15/03/13,SO45655,1,3578.27,AW Breña,BK-R93R-48,7
15/03/21,SO45714,1,3578.27,AW Breña,BK-R93R-48,8
15/03/23,SO45724,1,3578.27,AW Lurin,BK-R93R-48,9
15/03/28,SO45762,1,3578.27,AW Lurin,BK-R93R-48,10
15/04/04,SO45834,1,3578.27,AW Breña,BK-R93R-48,11
15/04/05,SO45844,1,3578.27,AW Comas,BK-R93R-48,12
15/04/07,SO45851,1,3578.27,AW Breña,BK-R93R-48,13
15/04/10,SO45867,1,3578.27,AW Comas,BK-R93R-48,14
15/04/17,SO45921,1,3578.27,AW Comas,BK-R93R-48,15
15/04/30,SO46018,1,3578.27,AW Comas,BK-R93R-48,16
15/04/23,SO45957,1,3578.27,AW Breña,BK-R93R-48,17
15/04/28,SO45996,1,3578.27,AW Breña,BK-R93R-48,18
15/04/29,SO46003,1,3578.27,AW Breña,BK-R93R-48,19
15/04/29,SO46005,1,3578.27,AW Lurin,BK-R93R-48,20
15/04/30,SO46016,1,3578.27,AW Breña,BK-R93R-48,21
15/05/01,SO46112,1,3578.27,AW Breña,BK-R93R-48,22
15/05/01,SO46109,1,3578.27,AW Comas,BK-R93R-48,23
15/05/02,SO46123,1,3578.27,AW Breña,BK-R93R-48,24
15/05/02,SO46121,1,3578.27,AW Breña,BK-R93R-48,25
15/05/04,SO46131,1,3578.27,AW Breña,BK-R93R-48,26
15/05/08,SO46163,1,3578.27,AW Comas,BK-R93R-48,27
15/05/08,SO46164,1,3578.27,AW Breña,BK-R93R-48,28
15/05/10,SO46177,1,3578.27,AW Breña,BK-R93R-48,29
15/05/14,SO46209,1,3578.27,AW Lurin,BK-R93R-48,30
15/05/15,SO46212,1,3578.27,AW Breña,BK-R93R-48,31
15/05/17,SO46235,1,3578.27,AW Breña,BK-R93R-48,32
15/05/22,SO46265,1,3578.27,AW Comas,BK-R93R-48,33
15/05/25,SO46287,1,3578.27,AW Breña,BK-R93R-48,34
15/06/03,SO46406,1,3578.27,AW Comas,BK-R93R-48,35
15/06/09,SO46446,1,3578.27,AW Comas,BK-R93R-48,36
